id,name,ability,edition,firstNight,firstNightReminder,otherNight,otherNightReminder,reminders,remindersGlobal,setup,team
alchemist,Alquimista,Tienes la habilidad de un Minion no presente en la partida.,,,Muestra al Alquimista el token de un Minion no presente en el juego.,,,,Es el Alquimista,,townsfolk
amnesiac,Amnésico,"No sabes cuál es tu habilidad. Cada día, intenta adivinarla en privado: sabrás qué tan cerca estás de adivinarla.",,,Decide la habilidad del Amnésico. Si la habilidad requiere que se despierte esta noche: despiértale para que la use.,,Si la habilidad del Amnésico requiere que se despierte esta noche: despiértale para que la use.,?,,,townsfolk
artist,Artista,"Una vez por juego, durante el día, hazle una pregunta de sí o no al Narrador en privado.",snv,,,,,Sin Habilidad,,,townsfolk
atheist,Ateo,"El Narrador puede romper las reglas del juego y, si es ejecutado, gana el equipo bueno, aún si estás muerto. [No hay personajes del equipo malo]",,,,,,,,TRUE,townsfolk
balloonist,Aeronauta,"Cada noche, aprendes un jugador de cada categoría de personajes hasta que no haya más categorías. [+1 Forastero]",,,Elige una categoría de personajes. Señala a un jugador que tenga un personaje de esa cateogría. Coloca el recordatorio de Visto del Aeronauta junto a ese personaje.,,"Elige una categorí­a de personajes que aún no tenga el recordatorio de Visto del Aeroanuta junto a un personaje. Señala a un jugador cuyo personaje está en esa categoría, si lo hay. Coloca el recordatorio de Visto del Aeronauta junto a ese personaje.","Aldeano Visto, Forastero Visto, Minion Visto, Demonio Visto, Viajero Visto",,TRUE,townsfolk
bountyhunter,Cazarrecompensas,"Comienzas sabiendo que un jugador es del equipo malo. Si el jugador que conoces muere, esta noche conoces a otro jugador del equipo malo. [Un Aldeano es malo]",,,Despierta al Aldeano del equipo malo y muéstrale la tarjeta de 'Eres' y el pulgar hacia abajo.,,"Si el Aldeano conocido por el Cazarrecompensas está muerto, señala a otro jugador del equipo malo.",Conocido,,,townsfolk
cannibal,Caníbal,"Tienes la habilidad del que más recientemente murió por ejecución. Si dicha persona es del equipo malo, estás envenenado hasta que alguien del equipo bueno muera por ejecución.",,,,,,"Envenenado, Murió Hoy",,,townsfolk
chambermaid,Camarera,"Cada noche, escoge a dos jugadores vivos (no tú mismo): aprendes cuántos despertaron esta noche gracias a su habilidad.",bmr,50,"La Camarera señala a dos jugadores. Muéstrale la señal numérica (0, 1, 2, ...) indicando cuántos de esos jugadores se despertaron esta noche gracias a su habilidad.",70,"La Camarera señala a dos jugadores. Muéstrale la señal numérica (0, 1, 2, ...) indicando cuántos de esos jugadores se despertaron esta noche gracias a su habilidad.",,,,townsfolk
chef,Chef,Comienzas sabiendo cuántos pares de jugadores del equipo malo están sentados juntos.,tb,35,"Muéstrale la señal numérica (0, 1, 2, ...) indicando cuántos pares de jugadores del equipo malo están sentados juntos.",0,,,,,townsfolk
choirboy,Corista,"Si el Demonio mata al Rey, aprendes qué jugador es el Demonio. [+ el Rey]",,,,,"Si el Demonio mata al Rey, despierta al Corista y señala al Demonio.",,,TRUE,townsfolk
clockmaker,Relojero,Comienzas sabiendo a cuántos pasos del Demonio está su Minion más cercano.,snv,,"Muéstrale la señal numérica (0, 1, 2, ...) indicando a cuántos pasos del Demonio está su Minion más cercano.",,,,,,townsfolk
courtier,Cortesano,"Una vez por juego, en la noche, escoge a un personaje: estará borracho por 3 noches y 3 dí­as.",bmr,19,"El Cortesano ya sea indica un 'no' con la cabeza, o señala a un personaje en la hoja de personajes. Si el Cortesano usó su habilidad: Si el personaje está en juego, ese jugador está borracho.",10,"Reduce el número de días que faltan para el jugador que está borracho. Si el Cortesano no ha usado su habilidad: El Cortesano ya sea indica un 'no' con la cabeza, o señala a un personaje en la hoja de personajes. Si el Cortesano usó su habilidad: Si el personaje está en juego, ese jugador está borracho.","Borracho 1, Borracho 2, Borracho 3, Sin Habilidad",,,townsfolk
washerwoman,Lavandera,Comienzas sabiendo que 1 de 2 jugadores es un Aldeano en particular.,tb,32,"Muestra el token de personaje de un Aldeano en juego. Señala a dos jugadores, uno de ellos es ese personaje.",0,,"Aldeano, Equivocado",,,townsfolk
baron,Barón,Hay Forasteros extra en el juego. [+2 Forasteros],tb,0,,0,,,,TRUE,minion
beggar,Limosnero,"Tienes que usar un token de votación para votar. Jugadores muertos pueden decidir darte el suyo. De ser así, aprendes de qué equipo es esa persona. Estas sobrio y saludable.",tb,0,,0,,,,,traveler
bureaucrat,Burócrata,"Cada noche, escoge a un jugador (no tú mismo): su voto cuenta como 3 votos mañana.",tb,1,El Burócrata señala a un jugador. Coloca el token de recordatorio '3 votos' del Burócrata junto al token de personaje de la persona escogida.,1,El Burócrata señala a un jugador. Coloca el token de recordatorio '3 votos' del Burócrata junto al token de personaje de la persona escogida.,3 Votos,,,traveler
butler,Mayordomo,"Cada noche, escoge a un jugador (no tú mismo): mañana, sólo puedes votar si esa persona está votando.",tb,38,El Mayordomo señala a un jugador. Marca a ese jugador como 'Maestro'.,55,El Mayordomo señala a un jugador. Marca a ese jugador como 'Maestro'.,Maestro,,,outsider
drunk,Borracho,"No sabes que eres el Borracho. Piensas que eres un Aldeano en particular, pero no lo eres.",tb,0,,0,,,Borracho,TRUE,outsider
empath,Émpata,"Cada noche, aprendes cuántos de tus 2 vecinos vivos son del equipo malo.",tb,36,"Muéstrale la señal numérica (0, 1, 2) indicando el número de vecinos vivos del Émpata que son del equipo malo.",53,"Muéstrale la señal numérica (0, 1, 2) indicando el número de vecinos vivos del Émpata que son del equipo malo.",,,,townsfolk
fortuneteller,Vidente,"Cada noche, escoge a 2 jugadores: aprendes si alguno de ellos es el Demonio. Hay un jugador del equipo bueno que se registra como Demonio para ti.",tb,37,La Vidente señala a dos jugadores. Da la señal con la cabeza (sí o no) si alguno de esos jugadores es el Demonio.,54,La Vidente señala a dos jugadores. Da la señal con la cabeza (sí o no) si alguno de esos jugadores es el Demonio.,Falso Demonio,,,townsfolk
gunslinger,Pistolero,"Cada día, después de que el primer voto haya sido contado, puedes escoger a un jugador que votó: se muere.",tb,0,,0,,,,,traveler
imp,Imp,"Cada noche*, escoge a un jugador: se muere. Si tú mueres de esta manera, un Minion se convierte en el Imp.",tb,0,,24,"El Imp señala a un jugador. Ese jugador muere. Si el Imp se mata a sí mismo de esta manera: Reemplaza el token de personaje de un Minion vivo con un token extra de Imp. Muéstrale la tarjeta de 'Eres' al antigüo Minion, y luego el token de Imp.",Muerto,,,demon
investigator,Detective,Comienzas sabiendo que 1 de 2 jugadores es un Minion en particular.,tb,34,"Muestra el token de personaje de un Minion en juego. Señala a dos jugadores, uno de ellos es ese personaje.",0,,"Minion, Equivocado",,,townsfolk
librarian,Bibliotecario,Comienzas sabiendo que 1 de 2 jugadores es un Forastero en particular. (O que hay cero en juego.),tb,33,"Muestra el token de personaje de un Forastero en juego. Señala a dos jugadores, uno de ellos es ese personaje.",0,,"Forastero, Equivocado",,,townsfolk
mayor,Alcalde,"Si solamente 3 jugadores viven y no sucede ninguna ejecución, tu equipo gana. Si mueres en la noche, algún otro jugador puede morir en tu lugar.",tb,0,,0,,,,,townsfolk
monk,Monje,"Cada noche*, escoge a un jugador (no tú mismo): está a salvo del Demonio esta noche.",tb,0,,13,El jugador previamente protegido ya no está protegido. El Monje señala a un jugador que no sea él mismo. Marca a esa persona como 'Protegido'.,Protegido,,,townsfolk
poisoner,Envenenador,"Cada noche, escoge a un jugador: está envenenado esta noche y el día de mañana.",tb,17,El Envenenador señala a un jugador. Ese jugador está envenenado.,8,El jugador previamente envenenado ya no está envenenado. El Envenenador señala a un jugador. Ese jugador está envenenado.,Envenenado,,,minion
ravenkeeper,Cuida-Cuervos,"Si te mueres en la noche, te despiertas para escoger a un jugador: aprendes su personaje.",tb,0,,42,Si el Cuida-Cuervos murió esta noche: El Cuida-Cuervos señala a un jugador. Muéstrale el token de personaje de ese jugador.,,,,townsfolk
recluse,Reclusa,"Puede que te registres con el equipo malo y como Minion o Demonio, aún muerto.",tb,0,,0,,,,,outsider
saint,Santo,"Si mueres por ejecución, tu equipo pierde.",tb,0,,0,,,,,outsider
scapegoat,Chivo Expiatorio,"Si un jugador de tu equipo es ejecutado, puede que seas ejecutado en su lugar.",tb,0,,0,,,,,traveler
scarletwoman,Mujer Escarlata,"Si hay 5 o más jugadores vivos y el Demonio muere, te conviertes en el Demonio. (Viajeros no cuentan)",tb,0,,20,"Si la Mujer Escarlata se convirtió en el Demonio hoy: Muéstrale la carta de 'Eres', y luego el token de Demonio.",Demonio,,,minion
slayer,Cazador,"Una vez por juego, durante el día, públicamente escoge a un jugador: si es el Demonio, se muere.",tb,0,,0,,Sin Habilidad,,,townsfolk
soldier,Soldado,Estás a salvo del Demonio.,tb,0,,0,,,,,townsfolk
spy,Espía,"Cada noche, vez el Grimoire. Puede que te registres con el equipo bueno y como un Aldeano o Forastero, aún muerto.",tb,48,Muéstrale el Grimoire al Espía por el tiempo que sea necesario.,68,Muéstrale el Grimoire al Espía por el tiempo que sea necesario.,,,,minion
thief,Ladrón,"Cada noche, escoge a un jugador (no tú mismo): su voto cuenta negativo mañana.",tb,1,El Ladrón señala a un jugador. Coloca el recordatorio de 'Voto Negativo' del Ladrón junto al token de personaje del jugador escogido.,1,El Ladrón señala a un jugador. Coloca el recordatorio de 'Voto Negativo' del Ladrón junto al token de personaje del jugador escogido.,Voto Negativo,,,traveler
undertaker,Sepulturero,"Cada noche*, aprendes qué personaje murió por ejecución hoy.",tb,0,,56,Si un jugador fue ejecutado hoy: Muéstrale el token de personaje de ese jugador.,Ejecutado,,,townsfolk
virgin,Virgen,"La primera vez que eres nominado, si el nominador es un Aldeano, este es ejecutado inmediatamente.",tb,0,,0,,Sin Habilidad,,,townsfolk
apprentice,Aprendíz,"En tu primera noche, obtienes una habilidad de Aldeano (si estás en el equipo bueno), o la de un Minion (si estás en el malo).",bmr,1,"Muéstrale al Aprendíz la carta de 'Eres', luego un token de Aldeano o Minion.",0,,Es el Aprendíz,,,traveler
assassin,Asesino,"Una vez por juego, en la noche*, escoge a un jugador: se muere, aún si por alguna razón no pudiera.",bmr,0,,37,Si el Asesino no ha usado su habilidad: El Asesino ya sea indica un 'no' con su cabeza o señala a un jugador. Ese jugador muere.,"Muerto, Sin Habilidad",,,minion
bishop,Obispo,Solamente el Narrador puede nominar. Al menos un jugador del equipo opuesto debe de ser nominado cada día.,bmr,0,,0,,"Nominar Buenos, Nominar Malos",,,traveler
devilsadvocate,Abogado Corrupto,"Cada noche, escoge a un jugador vivo (diferente de anoche): si es ejecutado mañana, no muere.",bmr,22,El Abogado del Diablo señala a un jugador vivo. Ese jugador sobrevive su ejecución mañana.,14,El Abogado del Diablo señala a un jugador vivo diferente al de anoche. Ese jugador sobrevive su ejecución mañana.,Sobrevive Ejecución,,,minion
exorcist,Exorcista,"Cada noche*, escoge a un jugador (diferente de anoche): el Demonio, si es escogido, aprende quién eres y no despierta esta noche.",bmr,0,,22,"El Exorcista señala a un jugador, diferente al de anoche. Si ese jugador es el Demonio: Despierta al Demonio. Muéstrale el token del Exorcista. Señala al Exorcista. El Demonio no actúa esta noche.",Escogido,,,townsfolk
fool,Bufón,"La primera vez que mueres, no lo haces.",bmr,0,,0,,Sin Habilidad,,,townsfolk
gambler,Ludópata,"Cada noche*, escoge a un jugador y adivina su personaje: si adivinas mal, mueres.",bmr,0,,11,"El Ludópata señala a un jugador, y a un personaje en la hoja de personajes. Si está incorrecto, el Ludópata muere.",Muerto,,,townsfolk
godfather,Padrino,"Comienzas sabiendo cuáles Forasteros están en juego. Si 1 murió en el día, escoge a un jugador esta noche: se muere. [-1 o +1 Forastero]",bmr,21,Muéstrale cuáles Forasteros están en juego.,38,Si un Forastero murió en el día: El Padrino señala a un jugador. Esa jugador muere.,"Muerto, Murió Hoy",,TRUE,minion
goon,Matón,"Cada noche, el primer jugador que te escoja con su habilidad está boracho hasta el anochecer. Te vas a su equipo.",bmr,0,,0,,Borracho,,,outsider
gossip,Chismoso,"Cada día, puedes decir públicamente un hecho. Esta noche, si fue verdadero, un jugador muere.",bmr,0,,47,Si el hecho público del Chismoso fue cierto: Escoge a un jugador no protegido de la muerte esta noche. Ese jugador muere.,Muerto,,,townsfolk
grandmother,Abuelita,"Comienzas conociendo a un jugador del equipo bueno y su personaje. Si el Demonio lo mata, mueres también.",bmr,39,Muéstrale el token de personaje marcado. Señala al jugador marcado.,50,Si el Demonio mató al nieto de la Abuelita esta noche: La Abuelita muere.,Nieto,,,townsfolk
innkeeper,Tabernero,"Cada noche*, escoge 2 jugadores: no pueden morir esta noche, pero 1 de ellos está borracho hasta el anochecer.",bmr,0,,9,Los jugadores previamente protegidos pierden sus marcadores. El Tabernero señala a dos jugadores. Esos jugadores están protegidos. Uno está borracho.,"Borracho, Protegido",,,townsfolk
judge,Juez,"Una vez por juego, si otro jugador nominó, puedes decidir forzar la ejecución para que pase o no.",bmr,0,,0,,Sin Habilidad,,,traveler
lunatic,Lunático,"Piensas que eres un Demonio, pero no lo eres. El Demonio sabe quién eres y a quién escoges en las noches.",bmr,7,Si hay 7 o más jugadores: Muéstrale al Lunático un número de Minions arbitrarios según el número de Minions en juego. Muéstrale 3 tokens de personajes del equipo bueno arbitrarios. Si el token recibido por el Lunático es un Demonio que se despertaría esta noche: Deja que el Lunático actúe como dicho Demonio. Coloca sus marcadores de 'Ataque'. Despierta al Demonio. Señala al jugador que es el Lunático y muéstrale el token de personaje. Si el Lunático atacó jugadores: Señala al Demonio cada jugador que fue atacada por el Lunático. Remueve los tokens de 'Ataque'.,21,Deja que el Lunático haga las acciones del Demonio. Coloca sus marcadores de 'Ataque' . Si el Lunático atacó jugadores: Señala al Demonio cada jugador que fue atacada por el Lunático. Remueve los tokens de 'Ataque'.,"Ataque, Ataque 2, Ataque 3",,,outsider
mastermind,Maquiavélico,"Si el Demonio muere por ejecución (terminando el juego), juega por un día más. Si entonces un jugador es ejecutado, su equipo pierde.",bmr,0,,0,,,,,minion
matron,Matriarca,"Cada día, puedes escoger hasta 3 sets de 2 jugadores para que cambien de asiento. Ningún jugador puede levantarse a hablar en privado.",bmr,0,,0,,,,,traveler
minstrel,Trovador,"Cuando un Minion muere por ejecución, todos los demás jugadores (a excepción de los Viajeros) están borrachos hasta el anochecer del día siguiente.",bmr,0,,0,,Todos Borrachos,,,townsfolk
moonchild,Hijo de la Luna,"Cuando te das cuenta que moriste, públicamente escoge a un jugador vivo. Esta noche, si era del equipo bueno, se muere.",bmr,0,,49,"Si el Hijo de la Luna usó su habilidad para escoger a un jugador hoy: Si ese jugador es del equipo bueno, se muere.",Muerto,,,outsider
pacifist,Pacifista,Jugadores del equipo bueno ejecutados puede que no mueran.,bmr,0,,0,,,,,townsfolk
po,Po,"Cada noche*, puedes escoger a un jugador: se muere. Si tu última decisión fue nadie, escoge a 3 personas esta noche.",bmr,0,,28,"Si el Po escogió matar a nadie la noche anterior: El Po señala a tres jugadores. Si no: Ya sea el Po indica un 'no' con la cabeza, o señala a un jugador. El jugador señalado se muere.","3 Ataques, Muerto",,,demon
professor,Profesor,"Una vez por juego, en la noche*, escoge a un jugador muerto: si es un Aldeano, es resucitado.",bmr,0,,45,"Si el Profesor no ha usado su habilidad: El Profesor ya sea indica un 'no' con su cabeza, o señala a un jugador muerto. Si ese jugador es un Aldeano, ahora está vivo.","Vivo, Sin Habilidad",,,townsfolk
pukka,Pukka,"Cada noche, escoge a un jugador: está envenenado. El jugador previamente envenenado muere y se cura.",bmr,28,El Pukka señala a un jugador. Ese jugador está envenenado.,28,El Pukka señala a un jugador. Ese jugador está envenenado. El jugador previamente envenenado muere.,"Muerto, Envenenado",,,demon
sailor,Marinero,"Cada noche, escoge a un jugador vivo: uno de ustedes está borracho hasta el anochecer. No puedes morir.",bmr,10,"El Marinero señala a un jugador vivo. Ya sea el Marinero, o el jugadore escogido, está borracho.",4,"El jugador previamente emborrachado ya no lo está. El Marinero señala a un jugador vivo. Ya sea el Marinero, o el jugadore escogido, está borracho.",Borracho,,,townsfolk
shabaloth,Shabaloth,"Cada noche*, escoge a 2 jugadores: se mueren. Un jugador muerto que escogiste anoche puede que sea regurgitado.",bmr,0,,27,Un jugador que el Shabaloth haya escogido anoche puede que sea resucitado. El Shabaloth señala a dos jugadores. Esos jugadores mueren.,"Vivo, Muerto",,,demon
tealady,Señora del Té,"Si ambos de tus vecinos vivos son del equipo bueno, no pueden morir.",bmr,0,,0,,No Puede Morir,,,townsfolk
tinker,Trabajador,Puede que mueras en cualquier momento.,bmr,0,,0,,Muerto,,,outsider
voudon,Vudú,Solamente tú y los muertos pueden votar. No necesitan un token de voto para hacerlo. Un 50% de mayoría no es requerido.,bmr,0,,0,,,,,traveler
zombuul,Zombuul,"Cada noche*, si nadie murió hoy, escoge a un jugador: se muere. La primera vez que mueres, vives pero te registras como muerto.",bmr,0,,25,Si nadie muró durante el día: El Zombuul señala a un jugador. Ese jugador se muere.,"Muerto, Murió Hoy",,,demon
